date,hour,employee_id,employee_name,hours_worked,customer_traffic,transactions,sales_revenue,sales_target,product_category,units_sold,accessory_sales,customer_rating,wait_time_minutes
2026-01-01,9,E002,Noah,1,5,2,255.29,300.0,Internet,6,0,4.3,3.9
2026-01-01,9,E006,Arjun,1,5,2,258.22,300.0,Mobile,6,0,4.1,3.4
2026-01-01,9,E005,Zara,1,6,2,355.22,300.0,Accessories,5,0,4.6,5.8
2026-01-01,10,E003,Mia,1,7,3,380.1,300.0,Accessories,7,0,4.1,4.8
2026-01-01,10,E005,Zara,1,7,2,513.21,300.0,Mobile,2,0,4.3,3.2
2026-01-01,10,E006,Arjun,1,8,4,491.7,300.0,Accessories,7,1,4.1,3.6
2026-01-01,11,E006,Arjun,1,5,2,354.86,225.0,Internet,5,0,4.0,5.3
2026-01-01,11,E001,Ava,1,2,0,0.0,225.0,Accessories,0,0,4.2,2.8
2026-01-01,11,E002,Noah,1,3,1,272.91,225.0,Accessories,4,0,4.5,5.0
2026-01-01,11,E003,Mia,1,3,0,0.0,225.0,Mobile,1,0,4.4,3.1
2026-01-01,12,E006,Arjun,1,12,3,779.06,607.5,Mobile,6,1,4.6,5.9
2026-01-01,12,E002,Noah,1,11,4,741.73,607.5,Accessories,8,2,3.9,5.5
2026-01-01,13,E006,Arjun,1,5,2,303.94,303.75,Accessories,4,1,4.3,3.2
2026-01-01,13,E003,Mia,1,5,1,222.1,303.75,Accessories,1,0,4.2,2.5
2026-01-01,13,E002,Noah,1,5,2,276.64,303.75,Mobile,4,0,4.5,4.1
2026-01-01,13,E005,Zara,1,6,2,588.69,303.75,Accessories,3,0,3.9,4.9
2026-01-01,14,E005,Zara,1,4,1,197.2,225.0,Internet,3,0,4.2,2.7
2026-01-01,14,E004,Liam,1,4,1,214.44,225.0,Mobile,5,0,4.3,4.0
2026-01-01,14,E002,Noah,1,4,2,446.81,225.0,Services,3,0,4.0,3.5
2026-01-01,14,E003,Mia,1,4,1,272.19,225.0,Services,4,0,4.3,4.9
2026-01-01,15,E006,Arjun,1,7,3,729.0,450.0,Services,3,1,4.4,4.6
2026-01-01,15,E001,Ava,1,6,3,676.04,450.0,Mobile,7,0,4.1,3.8
2026-01-01,16,E002,Noah,1,8,3,864.83,607.5,Services,4,1,4.5,3.1
2026-01-01,16,E006,Arjun,1,9,3,878.61,607.5,Internet,7,1,4.2,4.2
2026-01-01,17,E001,Ava,1,6,1,177.19,303.75,Internet,5,0,4.1,4.9
2026-01-01,17,E003,Mia,1,7,3,738.43,303.75,Services,7,1,4.0,3.5
2026-01-01,17,E006,Arjun,1,6,2,301.4,303.75,Internet,4,1,4.5,5.0
2026-01-01,17,E004,Liam,1,7,3,518.66,303.75,Mobile,3,0,4.0,3.4
2026-01-02,9,E005,Zara,1,6,2,395.8,450.0,Accessories,3,0,4.4,4.8
2026-01-02,9,E002,Noah,1,9,1,105.15,450.0,Mobile,5,0,4.0,4.8
2026-01-02,10,E001,Ava,1,9,4,988.32,450.0,Accessories,5,2,4.5,5.4
2026-01-02,10,E005,Zara,1,8,3,674.65,450.0,Internet,6,2,4.4,4.7
2026-01-02,11,E003,Mia,1,3,0,0.0,225.0,Internet,1,0,4.3,5.8
2026-01-02,11,E002,Noah,1,2,0,0.0,225.0,Accessories,2,0,3.7,4.6
2026-01-02,11,E004,Liam,1,4,1,286.45,225.0,Internet,4,0,4.2,5.2
2026-01-02,11,E006,Arjun,1,1,0,0.0,225.0,Accessories,1,0,4.2,5.8
2026-01-02,12,E006,Arjun,1,4,1,184.41,303.75,Services,1,0,4.6,4.6
2026-01-02,12,E002,Noah,1,4,2,473.95,303.75,Accessories,3,0,4.2,3.6
2026-01-02,12,E003,Mia,1,6,2,525.65,303.75,Accessories,6,0,4.1,6.7
2026-01-02,12,E001,Ava,1,7,4,829.77,303.75,Mobile,7,1,4.2,4.8
2026-01-02,13,E005,Zara,1,8,3,333.28,405.0,Accessories,4,1,4.6,4.1
2026-01-02,13,E002,Noah,1,7,2,306.56,405.0,Services,2,1,4.4,4.0
2026-01-02,13,E003,Mia,1,5,2,352.36,405.0,Accessories,5,1,4.5,4.1
2026-01-02,14,E005,Zara,1,4,2,279.42,300.0,Internet,5,0,4.2,3.1
2026-01-02,14,E001,Ava,1,3,1,172.23,300.0,Accessories,5,0,3.8,4.8
2026-01-02,14,E003,Mia,1,4,1,250.73,300.0,Internet,4,0,4.3,4.1
2026-01-02,15,E006,Arjun,1,3,1,301.65,225.0,Services,1,0,4.3,3.7
2026-01-02,15,E004,Liam,1,5,2,445.84,225.0,Accessories,2,0,3.9,4.2
2026-01-02,15,E005,Zara,1,6,2,286.78,225.0,Internet,6,0,4.6,2.4
2026-01-02,15,E002,Noah,1,2,0,0.0,225.0,Services,2,0,4.0,4.2
2026-01-02,16,E006,Arjun,1,10,4,1038.09,607.5,Internet,8,0,4.3,5.9
2026-01-02,16,E003,Mia,1,10,3,457.44,607.5,Mobile,6,0,4.2,6.0
2026-01-02,17,E004,Liam,1,4,2,582.46,303.75,Internet,6,1,4.0,2.6
2026-01-02,17,E006,Arjun,1,4,1,213.24,303.75,Services,4,0,4.6,3.1
2026-01-02,17,E001,Ava,1,4,0,0.0,303.75,Mobile,4,0,4.1,2.4
2026-01-02,17,E002,Noah,1,6,3,717.87,303.75,Services,6,0,4.5,3.9
2026-01-03,9,E003,Mia,1,8,3,469.84,375.0,Mobile,7,0,4.1,5.1
2026-01-03,9,E004,Liam,1,6,1,213.58,375.0,Services,2,0,4.3,1.3
2026-01-03,9,E006,Arjun,1,5,1,148.02,375.0,Mobile,2,0,4.5,4.2
2026-01-03,10,E001,Ava,1,6,3,536.63,375.0,Internet,6,1,4.1,4.4
2026-01-03,10,E005,Zara,1,9,4,1015.6,375.0,Services,4,2,4.2,3.2
2026-01-03,10,E006,Arjun,1,7,2,384.68,375.0,Services,4,0,4.4,3.2
2026-01-03,11,E006,Arjun,1,8,3,809.21,375.0,Services,5,1,3.8,6.7
2026-01-03,11,E002,Noah,1,7,3,592.82,375.0,Services,3,1,3.6,7.2
2026-01-03,11,E004,Liam,1,10,3,794.98,375.0,Accessories,5,0,4.6,5.4
2026-01-03,12,E005,Zara,1,11,5,1274.84,506.25,Services,8,2,4.5,5.0
2026-01-03,12,E001,Ava,1,9,3,583.91,506.25,Accessories,4,1,3.8,6.1
2026-01-03,12,E002,Noah,1,8,2,502.15,506.25,Internet,4,0,4.3,3.9
2026-01-03,13,E006,Arjun,1,16,8,1475.39,759.38,Accessories,9,2,4.3,4.3
2026-01-03,13,E005,Zara,1,18,7,1365.63,759.38,Mobile,9,1,3.8,7.3
2026-01-03,14,E003,Mia,1,6,2,303.64,281.25,Mobile,3,1,4.2,4.3
2026-01-03,14,E002,Noah,1,8,3,479.88,281.25,Accessories,3,1,4.1,3.8
2026-01-03,14,E004,Liam,1,6,2,313.39,281.25,Services,6,1,4.3,3.6
2026-01-03,14,E001,Ava,1,7,3,554.63,281.25,Mobile,7,2,4.6,3.5
2026-01-03,15,E003,Mia,1,12,5,1191.78,562.5,Services,5,1,4.4,4.0
2026-01-03,15,E001,Ava,1,12,5,935.52,562.5,Internet,8,1,4.3,3.7
2026-01-03,16,E001,Ava,1,9,2,439.61,506.25,Accessories,3,1,3.8,4.8
2026-01-03,16,E005,Zara,1,9,2,466.15,506.25,Services,4,1,4.0,6.5
2026-01-03,16,E002,Noah,1,9,4,1115.25,506.25,Mobile,8,1,4.8,3.9
2026-01-03,17,E003,Mia,1,6,2,480.16,379.69,Services,6,0,4.5,4.4
2026-01-03,17,E005,Zara,1,5,1,250.44,379.69,Accessories,1,0,4.6,3.9
2026-01-03,17,E001,Ava,1,7,2,421.98,379.69,Services,2,0,3.9,4.4
2026-01-03,17,E004,Liam,1,12,6,797.66,379.69,Internet,6,3,4.2,3.6
2026-01-04,9,E006,Arjun,1,5,2,552.99,375.0,Internet,4,0,4.1,3.9
